t,P_L,P_S1,P_S2,P_S3,P_R,norm
0.0000,9.280476e-01,3.096189e-28,2.759091e-03,1.279988e-31,8.202793e-06,1.0000000000
3.3443,9.277825e-01,7.612311e-13,2.757360e-03,2.263117e-15,8.199654e-06,1.0000000000
6.6886,9.275127e-01,6.353149e-11,2.755495e-03,1.874238e-13,8.195265e-06,1.0000000000
10.0329,9.272579e-01,6.391213e-10,2.753845e-03,1.707962e-12,8.192629e-06,1.0000000000
13.3772,9.269676e-01,7.828147e-10,2.752097e-03,2.054709e-12,8.189025e-06,1.0000000000
16.7215,9.267296e-01,6.409800e-09,2.750408e-03,1.804861e-11,8.185594e-06,1.0000000000
20.0658,9.264321e-01,3.541548e-09,2.748567e-03,8.762920e-12,8.182086e-06,1.0000000000
23.4100,9.261811e-01,2.471082e-08,2.747657e-03,6.924727e-11,8.181252e-06,1.0000000000
26.7543,9.259055e-01,1.514785e-08,2.744785e-03,3.963832e-11,8.173847e-06,1.0000000000
30.0986,9.256328e-01,5.400721e-08,2.745213e-03,1.475269e-10,8.178045e-06,1.0000000000
33.4429,9.253574e-01,5.510699e-08,2.741644e-03,1.481826e-10,8.167828e-06,1.0000000000
36.7872,9.251090e-01,9.801938e-08,2.742585e-03,2.695046e-10,8.173642e-06,1.0000000000
40.1315,9.247809e-01,1.337748e-07,2.739168e-03,3.539262e-10,8.164624e-06,1.0000000000
43.4758,9.245960e-01,1.899906e-07,2.740309e-03,5.306501e-10,8.169668e-06,1.0000000000
46.8201,9.242041e-01,2.443630e-07,2.737215e-03,6.529468e-10,8.163439e-06,1.0000000000
50.1644,9.240599e-01,3.584094e-07,2.737999e-03,9.694328e-10,8.165101e-06,1.0000000000
53.5087,9.236579e-01,4.150558e-07,2.736823e-03,1.171093e-09,8.168457e-06,1.0000000000
56.8530,9.234802e-01,5.969087e-07,2.735197e-03,1.553420e-09,8.155530e-06,1.0000000000
60.1973,9.231443e-01,6.990668e-07,2.737401e-03,1.998896e-09,8.182821e-06,1.0000000000
63.5416,9.228775e-01,9.130860e-07,2.733780e-03,2.447070e-09,8.141652e-06,1.0000000000
66.8859,9.226231e-01,1.117872e-06,2.737268e-03,3.062407e-09,8.203609e-06,1.0000000000
70.2301,9.222972e-01,1.361849e-06,2.734470e-03,3.783099e-09,8.128942e-06,1.0000000000
73.5744,9.220619e-01,1.673951e-06,2.737291e-03,4.677550e-09,8.224238e-06,1.0000000000
76.9187,9.217452e-01,1.993727e-06,2.735850e-03,5.150885e-09,8.126274e-06,1.0000000000
80.2630,9.214784e-01,2.401838e-06,2.739006e-03,7.558189e-09,8.236242e-06,1.0000000000
83.6073,9.211945e-01,2.835046e-06,2.737240e-03,6.467433e-09,8.139565e-06,1.0000000000
86.9516,9.208917e-01,3.353167e-06,2.742370e-03,1.146318e-08,8.241229e-06,1.0000000000
90.2959,9.206400e-01,3.924283e-06,2.739845e-03,8.719510e-09,8.159399e-06,1.0000000000
93.6402,9.203003e-01,4.571278e-06,2.745911e-03,1.553943e-08,8.255998e-06,1.0000000000
96.9845,9.200753e-01,5.298292e-06,2.744991e-03,1.210924e-08,8.169155e-06,1.0000000000
100.3288,9.197226e-01,6.132576e-06,2.749700e-03,2.114957e-08,8.290816e-06,1.0000000000
103.6731,9.194785e-01,6.978480e-06,2.751513e-03,1.512765e-08,8.172920e-06,1.0000000000
107.0174,9.191657e-01,8.098012e-06,2.755777e-03,3.020670e-08,8.327888e-06,1.0000000000
110.3617,9.188675e-01,9.037009e-06,2.758201e-03,1.808428e-08,8.198001e-06,1.0000000000
113.7060,9.185919e-01,1.050793e-05,2.764129e-03,4.046458e-08,8.342153e-06,1.0000000000
117.0502,9.182792e-01,1.154149e-05,2.766574e-03,2.433621e-08,8.258050e-06,1.0000000000
120.3945,9.179837e-01,1.340092e-05,2.773517e-03,4.779825e-08,8.338873e-06,1.0000000000
123.7388,9.177036e-01,1.463191e-05,2.776933e-03,3.594384e-08,8.333369e-06,1.0000000000
127.0831,9.173705e-01,1.672109e-05,2.785083e-03,5.413855e-08,8.344811e-06,1.0000000000
130.4274,9.171057e-01,1.847522e-05,2.788403e-03,4.963817e-08,8.405209e-06,1.0000000000
133.7717,9.167789e-01,2.055579e-05,2.798853e-03,6.592973e-08,8.363865e-06,1.0000000000
137.1160,9.164741e-01,2.298108e-05,2.802569e-03,6.110746e-08,8.487594e-06,1.0000000000
140.4603,9.162002e-01,2.522667e-05,2.813025e-03,8.453967e-08,8.374305e-06,1.0000000000
143.8046,9.158362e-01,2.803258e-05,2.820797e-03,7.365663e-08,8.598748e-06,1.0000000000
147.1489,9.155934e-01,3.084682e-05,2.828279e-03,1.038945e-07,8.377468e-06,1.0000000000
150.4932,9.152307e-01,3.382610e-05,2.840867e-03,9.322279e-08,8.715569e-06,1.0000000000
153.8375,9.149404e-01,3.732318e-05,2.847941e-03,1.216284e-07,8.412502e-06,1.0000000000
157.1818,9.146417e-01,4.059756e-05,2.860775e-03,1.187439e-07,8.802467e-06,1.0000000000
160.5261,9.142843e-01,4.464449e-05,2.872038e-03,1.426991e-07,8.495392e-06,1.0000000000
163.8703,9.140201e-01,4.845374e-05,2.883032e-03,1.472021e-07,8.870147e-06,1.0000000000
167.2146,9.136548e-01,5.297102e-05,2.897705e-03,1.681251e-07,8.601834e-06,1.0000000000
170.5589,9.133640e-01,5.735035e-05,2.909699e-03,1.814038e-07,8.942534e-06,1.0000000000
