case,param,value,mean_E0,note
A_NN,sigma,0.00,3.294915e-18,kappa=0
A_NNN,sigma,0.00,9.011371e-02,kappa=0.100
A_NN,sigma,0.05,8.784177e-17,kappa=0
A_NNN,sigma,0.05,9.000189e-02,kappa=0.100
A_NN,sigma,0.10,1.240074e-16,kappa=0
A_NNN,sigma,0.10,8.880822e-02,kappa=0.100
A_NN,sigma,0.15,1.270268e-16,kappa=0
A_NNN,sigma,0.15,8.807359e-02,kappa=0.100
A_NN,sigma,0.20,1.471115e-16,kappa=0
A_NNN,sigma,0.20,8.570160e-02,kappa=0.100
A_NN,sigma,0.25,1.566590e-16,kappa=0
A_NNN,sigma,0.25,8.346708e-02,kappa=0.100
A_NN,sigma,0.30,1.655803e-16,kappa=0
A_NNN,sigma,0.30,8.375616e-02,kappa=0.100
B,sigma,0.00,3.294915e-18,onsite_NN
B,sigma,0.05,1.081619e-02,onsite_NN
B,sigma,0.10,1.569540e-02,onsite_NN
B,sigma,0.15,2.374372e-02,onsite_NN
B,sigma,0.20,3.209432e-02,onsite_NN
B,sigma,0.25,4.325874e-02,onsite_NN
B,sigma,0.30,4.482178e-02,onsite_NN
C,kappa,0.0000,3.294915e-18,no_disorder
C,kappa,0.0200,1.517604e-03,no_disorder
C,kappa,0.0400,2.508062e-02,no_disorder
C,kappa,0.0600,4.749354e-02,no_disorder
C,kappa,0.0800,6.908764e-02,no_disorder
C,kappa,0.1000,9.011371e-02,no_disorder
C,kappa,0.1200,1.107382e-01,no_disorder
C,kappa,0.1400,1.310656e-01,no_disorder
C,kappa,0.1600,1.511596e-01,no_disorder
C,kappa,0.1800,1.710572e-01,no_disorder
C,kappa,0.2000,1.907778e-01,no_disorder
