protocol,type,sigma_or_error,mean_F,std_F
Rabi,off-diag,0.00,1.000000,0.000000
CTAP,off-diag,0.00,0.984743,0.000000
Rabi,off-diag,0.05,0.987258,0.012509
CTAP,off-diag,0.05,0.977390,0.011179
Rabi,off-diag,0.10,0.954901,0.044463
CTAP,off-diag,0.10,0.968256,0.025034
Rabi,off-diag,0.20,0.822854,0.129031
CTAP,off-diag,0.20,0.900430,0.085244
Rabi,off-diag,0.30,0.696120,0.220075
CTAP,off-diag,0.30,0.848406,0.149771
Rabi,onsite,0.00,1.000000,0.000000
CTAP,onsite,0.00,0.984743,0.000000
Rabi,onsite,0.05,0.945587,0.049139
CTAP,onsite,0.05,0.870876,0.119267
Rabi,onsite,0.10,0.823493,0.127620
CTAP,onsite,0.10,0.687128,0.227342
Rabi,onsite,0.20,0.460332,0.280898
CTAP,onsite,0.20,0.320675,0.308271
Rabi,onsite,0.30,0.346093,0.301551
CTAP,onsite,0.30,0.245690,0.308713
Rabi,position,-2,0.051658,
CTAP,position,-2,0.418702,
Rabi,position,+2,0.051658,
CTAP,position,+2,0.418702,
